date,sales,temperature,marketing_spend,product_category,store_location,day_of_week,is_weekend,month,year,quarter
2020-01-01,154.97,20.4,932.28,Electronics,North,Wednesday,0,January,2020,Q1
2020-01-02,183.11,19.1,1350.87,Home,South,Thursday,0,January,2020,Q1
2020-01-03,143.24,21.4,1397.99,Home,Central,Friday,0,January,2020,Q1
2020-01-04,165.6,22.2,1254.68,Clothing,Central,Saturday,1,January,2020,Q1
2020-01-05,167.79,24.8,1090.79,Sports,East,Sunday,1,January,2020,Q1
2020-01-06,180.53,21.5,898.72,Clothing,North,Monday,0,January,2020,Q1
2020-01-07,196.16,30.3,1298.96,Sports,West,Tuesday,0,January,2020,Q1
2020-01-08,173.15,22.7,1438.5,Clothing,North,Wednesday,0,January,2020,Q1
2020-01-09,145.24,27.6,1614.5,Electronics,Central,Thursday,0,January,2020,Q1
2020-01-10,150.95,15.3,1103.9,Books,East,Friday,0,January,2020,Q1
2020-01-11,150.53,26.6,1272.69,Clothing,South,Saturday,1,January,2020,Q1
2020-01-12,166.11,22.3,1158.56,Sports,North,Sunday,1,January,2020,Q1
2020-01-13,181.75,17.2,1244.88,Electronics,Central,Monday,0,January,2020,Q1
2020-01-14,153.68,24.6,1526.88,Home,West,Tuesday,0,January,2020,Q1
2020-01-15,136.96,22.7,1278.66,Sports,East,Wednesday,0,January,2020,Q1
2020-01-16,129.82,25.6,1268.16,Electronics,South,Thursday,0,January,2020,Q1
2020-01-17,118.28,27.1,1608.8,Sports,North,Friday,0,January,2020,Q1
2020-01-18,139.28,19.9,1553.74,Home,West,Saturday,1,January,2020,Q1
2020-01-19,141.54,27.6,1545.53,Home,South,Sunday,1,January,2020,Q1
2020-01-20,144.78,24.8,1354.57,Clothing,Central,Monday,0,January,2020,Q1
2020-01-21,167.59,29.1,1751.01,Sports,Central,Tuesday,0,January,2020,Q1
2020-01-22,133.45,24.7,1500.16,Electronics,West,Wednesday,0,January,2020,Q1
2020-01-23,119.73,24.1,1975.73,Electronics,Central,Thursday,0,January,2020,Q1
2020-01-24,100.55,25.9,1531.93,Sports,East,Friday,0,January,2020,Q1
2020-01-25,120.4,26.3,1030.59,Sports,West,Saturday,1,January,2020,Q1
2020-01-26,145.14,24.3,1016.83,Electronics,Central,Sunday,1,January,2020,Q1
2020-01-27,144.73,25.0,1609.94,Clothing,North,Monday,0,January,2020,Q1
2020-01-28,158.02,23.0,1735.63,Clothing,Central,Tuesday,0,January,2020,Q1
2020-01-29,134.9,25.6,1306.83,Clothing,East,Wednesday,0,January,2020,Q1
2020-01-30,124.93,29.2,1869.59,Electronics,South,Thursday,0,January,2020,Q1
2020-01-31,120.72,27.0,1765.61,Home,South,Friday,0,January,2020,Q1
2020-02-01,158.88,30.7,1456.63,Electronics,Central,Saturday,1,February,2020,Q1
2020-02-02,160.29,27.3,1501.9,Sports,South,Sunday,1,February,2020,Q1
2020-02-03,163.16,23.8,1550.48,Sports,Central,Monday,0,February,2020,Q1
2020-02-04,180.27,30.1,1725.33,Clothing,East,Tuesday,0,February,2020,Q1
2020-02-05,145.92,26.5,1457.82,Electronics,South,Wednesday,0,February,2020,Q1
